Id,City,State,Country,Full Address,Latitude,Longitude
,StringFilter,StringFilter,StringFilter,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
186,-,-,Byzantine Empire,- - Byzantine Empire ,37.6865716,-97.3625225
187,-,-,Russian Empire,- - Russian Empire ,59.9357512,30.3206011
188,Bathurst,-,The Gambia,Bathurst - The Gambia ,13.4548761,-16.5790323
189,Beira,-,Mozambique,Beira - Mozambique ,-19.8315949,34.8370183
190,Tunbridge Wells,Kent,England,Tunbridge Wells Kent England ,51.132377,0.263695
191,Naples,-,Italy,Naples - Italy ,40.8517983,14.26812
192,Mafeking,-,South Africa,Mafeking - South Africa ,-25.855978,25.64031
193,Assinie,-,Ivory Coast,Assinie - Ivory Coast ,5.1398055,-3.3237824
194,Cayenne,-,French Guiana,Cayenne - French Guiana ,4.92242,-52.3134531
195,Nairobi,-,British Kenya,Nairobi - British Kenya ,-1.295695,36.816929
196,Calabar,-,Nigeria,Calabar - Nigeria ,4.9757165,8.3417006
197,Simonstown,-,South Africa,Simonstown - South Africa ,-34.1937654,18.4356653
198,-,-,Sudan,- - Sudan ,12.862807,30.217636
199,Budapest,-,Hungary,Budapest - Hungary ,47.497912,19.040235
200,Saint-Louis,-,Senegal,Saint-Louis - Senegal ,16.0326307,-16.4818167
201,Bordeaux,-,France,Bordeaux - France ,44.837789,-0.57918
202,Douala,-,Cameroon,Douala - Cameroon ,4.0510564,9.7678687
203,Stamford,Connecticut,United States,Stamford Connecticut United States ,41.0534302,-73.5387341
204,-,-,Togo,- - Togo ,8.619543,0.824782
205,-,-,Mozambique,- - Mozambique ,-18.665695,35.529562
206,-,Massachusetts,United States,- Massachusetts United States ,42.4072107,-71.3824374
207,Saigon,-,Vietnam,Saigon - Vietnam ,10.8230989,106.6296638
208,Austin,Minnesota,United States,Austin Minnesota United States ,43.6666296,-92.9746367
209,Umunumo,-,Nigeria,Umunumo - Nigeria ,5.6578278,7.2922646
210,Vienna,-,Austria,Vienna - Austria ,48.2081743,16.3738189
211,St. Louis,Missouri,United States,St. Louis Missouri United States ,38.6270025,-90.1994042
212,Yayladere,-,Turkey,Yayladere - Turkey ,39.227956,40.069078
213,-,-,Argentina,- - Argentina ,-38.416097,-63.616672
214,Madera,California,United States,Madera California United States ,36.9613356,-120.0607176
215,-,-,Wales,- - Wales ,52.1306607,-3.7837117
216,-,Florida,United States,- Florida United States ,27.6648274,-81.5157535
217,Klerksdorp,-,South Africa,Klerksdorp - South Africa ,-26.8598225,26.6317514
218,Oyo,-,Nigeria,Oyo - Nigeria ,7.8429579,3.9368439
219,Baidoa,-,Somalia,Baidoa - Somalia ,3.1140502,43.651925
220,-,-,Turkey,- - Turkey ,38.963745,35.243322
221,Tehran,-,Iran,Tehran - Iran ,35.6891975,51.3889736
222,Oxford,Mississippi,United States,Oxford Mississippi United States ,34.3668299,-89.518635
223,-,-,Holy Roman Empire,- - Holy Roman Empire ,,
224,Lisbon,-,Portugal,Lisbon - Portugal ,38.7222524,-9.1393366
225,St. Paul,Minnesota,United States,St. Paul Minnesota United States ,44.9537029,-93.0899578
226,Cleveland,Ohio,United States,Cleveland Ohio United States ,41.49932,-81.6943605
227,Panama City,-,Panama,Panama City - Panama ,8.9823792,-79.5198696
228,Birmingham,-,England,Birmingham - England ,52.486243,-1.890401
229,-,-,Italian Libya,- - Italian Libya ,32.8935927,13.1923297
230,-,-,Jamaica,- - Jamaica ,18.109581,-77.297508
231,Keyser,West Virginia,United States,Keyser West Virginia United States ,39.4409277,-78.9739156
232,Trelech,Carmarthenshire,Wales,Trelech Carmarthenshire Wales ,51.94474,-4.500868
233,Newark,New Jersey,United States,Newark New Jersey United States ,40.735657,-74.1723667
234,Dumfries,-,Scotland,Dumfries - Scotland ,55.070859,-3.60512
235,Buuhoodle,-,Somaliland,Buuhoodle - Somaliland ,8.2363238,46.3384816
236,London,Hackney,England,London Hackney England ,51.573445,-0.0724376
237,Castledawson,-,Northern Ireland,Castledawson - Northern Ireland ,54.7782341,-6.5579191
238,Toronto,Ontario,Canada,Toronto Ontario Canada ,43.653226,-79.3831843
239,Teplice,-,Czech Republic,Teplice - Czech Republic ,50.6444579,13.835284
240,-,Missouri,United States,- Missouri United States ,37.9642529,-91.8318334
241,Eluoma,-,Nigeria,Eluoma - Nigeria ,6.7491405,6.0732146
242,Cairo,-,Egypt,Cairo - Egypt ,30.0444196,31.2357116
243,Luanda,-,Angola,Luanda - Angola ,-8.8146556,13.2301756
244,Frankfurt,-,Germay,Frankfurt - Germay ,50.1109221,8.6821267
245,Vancouver,British Columbia,Canada,Vancouver British Columbia Canada ,49.2827291,-123.1207375
246,-,-,Sierra Leone,- - Sierra Leone ,8.460555,-11.779889
247,Acre,-,Mandatory Palestine,Acre - Mandatory Palestine ,,
248,-,-,Zambia,- - Zambia ,-13.133897,27.849332
249,-,-,Greece,- - Greece ,39.074208,21.824312
250,-,-,Mali Empire,- - Mali Empire ,34.034802,-118.258121
251,-,-,Switzerland,- - Switzerland ,46.818188,8.227512
252,-,California,United States,- California United States ,36.778261,-119.4179324
253,Bombay,-,British India,Bombay - British India ,18.9573688,72.8152621
254,-,Washington,United States,- Washington United States ,47.7510741,-120.7401385
255,-,-,Namibia,- - Namibia ,-22.95764,18.49041
256,-,-,Netherlands,- - Netherlands ,52.132633,5.291266
257,Bontebokskloof,-,South Africa,Bontebokskloof - South Africa ,-29.788981,30.8326663
258,Kroonstad,-,South Africa,Kroonstad - South Africa ,-27.6372514,27.2323367
259,Kumasi,-,Gold Coast,Kumasi - Gold Coast ,6.6875605,-1.6231629
260,-,South Dakota,United States,- South Dakota United States ,43.9695148,-99.9018131
261,Baena,-,Spain,Baena - Spain ,37.617362,-4.3244513
262,-,New Jersey,United States,- New Jersey United States ,40.0583238,-74.4056612
263,-,-,Guinea,- - Guinea ,9.945587,-9.696645
264,Worcester,-,South Africa,Worcester - South Africa ,-33.65389,19.4616074
265,-,-,Iran,- - Iran ,32.427908,53.688046
266,Minneapolis,Minnesota,United States,Minneapolis Minnesota United States ,44.977753,-93.2650108
267,Lydenburg,-,South Africa,Lydenburg - South Africa ,-25.0815817,30.447285
268,-,Minnesota,United States,- Minnesota United States ,46.729553,-94.6858998
269,Springfield,Illinois,United States,Springfield Illinois United States ,39.7817213,-89.6501481
270,Kuala Lampur,-,Malaysia,Kuala Lampur - Malaysia ,3.139003,101.686855
271,Gulu,-,Uganda,Gulu - Uganda ,2.7724038,32.2880726
272,Portland,Maine,United States,Portland Maine United States ,43.6590993,-70.2568189
273,-,-,Spain,- - Spain ,40.463667,-3.74922
274,Sutherland,-,South Africa,Sutherland - South Africa ,-32.4100977,20.670528
275,-,-,Belgium,- - Belgium ,50.503887,4.469936
276,Katakokombe,-,Belgian Congo,Katakokombe - Belgian Congo ,-3.3978664,24.4203028
277,Chicago,Illinois,United States,Chicago Illinois United States ,41.8781136,-87.6297982
278,Port Elizabeth,-,South Africa,Port Elizabeth - South Africa ,-33.9608369,25.6022423
279,Kadango Village,-,Malawi,Kadango Village - Malawi ,-14.1183479,35.2066038
280,Rusape,-,Southern Rhodesia,Rusape - Southern Rhodesia ,-18.5326251,32.1238552
281,Amsterdam,-,Netherlands,Amsterdam - Netherlands ,52.3675734,4.9041389
282,-,-,Belgian Congo,- - Belgian Congo ,-5.8547432,13.0567605
283,Khojane,-,Lesotho,Khojane - Lesotho ,,
284,Alexandra,-,South Africa,Alexandra - South Africa ,-26.1033012,28.0976369
285,Belfast,-,Northern Ireland,Belfast - Northern Ireland ,54.597285,-5.93012
286,Vryheid,Natal,South Africa,Vryheid Natal South Africa ,-27.7654196,30.792458
287,Alford,-,Scotland,Alford - Scotland ,57.233323,-2.704753
288,Kaposvar,-,Austria-Hungary,Kaposvar - Austria-Hungary ,46.3593606,17.7967639
289,-,-,British India,- - British India ,,
290,-,-,Equatorial Guinea,- - Equatorial Guinea ,1.650801,10.267895
291,-,-,Chile,- - Chile ,-35.675147,-71.542969
292,Oudtshoorn,-,South Africa,Oudtshoorn - South Africa ,-33.6007225,22.2026347
293,Pottsville,Pennsylvania,United States,Pottsville Pennsylvania United States ,40.6856456,-76.195499
294,Honolulu,Hawaii,United States,Honolulu Hawaii United States ,21.3069444,-157.8583333
295,Dokolo,-,Uganda,Dokolo - Uganda ,1.9130964,33.171699
296,Iruekpen-Ekpoma,-,Nigeria,Iruekpen-Ekpoma - Nigeria ,6.763227,6.049313
297,Ososa,-,Nigeria,Ososa - Nigeria ,6.7957362,3.8528061
298,Bomoundi,-,Nigeria,Bomoundi - Nigeria ,,
299,Ojoto,-,Nigeria,Ojoto - Nigeria ,6.0641892,6.8645856
300,Dundee,-,South Africa,Dundee - South Africa ,-28.1649792,30.2343141
301,-,-,Mali,- - Mali ,17.570692,-3.996166
302,-,-,French West Africa,- - French West Africa ,,
303,Pietermaritzburg,-,South Africa,Pietermaritzburg - South Africa ,-29.6006068,30.3794118
304,-,South Dakota,United States,- South Dakota United States ,43.9695148,-99.9018131
305,-,-,Guadeloupe,- - Guadeloupe ,16.265,-61.551
306,Banjul,-,Gambia,Banjul - Gambia ,13.4548761,-16.5790323
307,Newcastle,-,England,Newcastle - England ,54.978252,-1.61778
308,Doornfontein,-,South Africa,Doornfontein - South Africa ,-26.194851,28.0552003
309,Pietersburg,-,South Africa,Pietersburg - South Africa ,-23.8961708,29.4486263
310,-,-,Yugoslavia,- - Yugoslavia ,43.6876095,-79.4121417
311,Postmasburg,-,South Africa,Postmasburg - South Africa ,-28.3092768,23.1084191
312,Kimberley,-,South Africa,Kimberley - South Africa ,-28.7282384,24.7499112
313,Blaiklaw,-,Scotland,Blaiklaw - Scotland ,55.782081,-3.7184416
314,Hicksville,Ohio,United States,Hicksville Ohio United States ,41.293106,-84.7619032
315,Antananarivo,-,Madagascar,Antananarivo - Madagascar ,-18.8791902,47.5079055
316,Maroantsetra,-,Madagascar,Maroantsetra - Madagascar ,-15.4353987,49.7392575
317,Arivonimamo,-,Madagascar,Arivonimamo - Madagascar ,-19.0098182,47.1800893
318,Seattle,Washington,United States,Seattle Washington United States ,47.6062095,-122.3320708
319,Roodepoort,-,South Africa,Roodepoort - South Africa ,-26.1201355,27.9014654
320,Bori,-,Nigeria,Bori - Nigeria ,4.673499,7.3678624
321,Dublin,-,Ireland,Dublin - Ireland ,53.3498053,-6.2603097
322,-,-,Ethiopia,- - Ethiopia ,9.145,40.489673
323,Joal,-,Senegal,Joal - Senegal ,14.1811693,-16.8502879
324,Umjilo,-,South Africa,Umjilo - South Africa ,-29.8842477,30.9790281
325,Clarksville,Texas,United States,Clarksville Texas United States ,33.6106648,-95.052722
326,-,Pennsylvania,United States,- Pennsylvania United States ,41.2033216,-77.1945247
327,-,-,Bulgaria,- - Bulgaria ,42.733883,25.48583
328,Los Angeles,California,United States,Los Angeles California United States ,34.0522342,-118.2436849
329,-,Virginia,United States,- Virginia United States ,37.4315734,-78.6568942
330,-,-,China,- - China ,35.86166,104.195397
331,Tokyo,-,Japan,Tokyo - Japan ,35.6761919,139.6503106
332,Mpili,-,French Equatorial Africa,Mpili - French Equatorial Africa ,-14.88526,27.75709
333,Heidelberg,-,South Africa,Heidelberg - South Africa ,-26.4910013,28.3841777
334,Pearston,-,South Africa,Pearston - South Africa ,-32.5795387,25.1385192
335,-,-,Southern Rhodesia,- - Southern Rhodesia ,,
336,West Point,New York,United States,West Point New York United States ,41.3914827,-73.9559721
